"entity","abstract"
"Max Born","Max Born (German: [bɔɐ̯n]; 11 December 1882 – 5 January 1970) was a German physicist and mathematician who was instrumental in the development of quantum mechanics. He also made contributions to solid-state physics and optics and supervised the work of a number of notable physicists in the 1920s and 1930s. Born won the 1954 Nobel Prize in Physics for his ""fundamental research in Quantum Mechanics, especially in the statistical interpretation of the wave function"". Born in 1882 in Breslau, then in Germany, now in Poland and known as Wrocław, Born entered the University of Göttingen in 1904, where he found the three renowned mathematicians, Felix Klein, David Hilbert and Hermann Minkowski. He wrote his Ph.D. thesis on the subject of ""Stability of Elastica in a Plane and Space"", winning the University's Philosophy Faculty Prize. In 1905, he began researching special relativity with Minkowski, and subsequently wrote his habilitation thesis on the Thomson model of the atom. A chance meeting with Fritz Haber in Berlin in 1918 led to discussion of the manner in which an ionic compound is formed when a metal reacts with a halogen, which is today known as the Born–Haber cycle. In the First World War, after originally being placed as a radio operator, he was moved to research duties regarding sound ranging due to his specialist knowledge. In 1921, Born returned to Göttingen, arranging another chair for his long-time friend and colleague James Franck. Under Born, Göttingen became one of the world's foremost centres for physics. In 1925, Born and Werner Heisenberg formulated the matrix mechanics representation of quantum mechanics. The following year, he formulated the now-standard interpretation of the probability density function for ψ*ψ in the Schrödinger equation, for which he was awarded the Nobel Prize in 1954. His influence extended far beyond his own research. Max Delbrück, Siegfried Flügge, Friedrich Hund, Pascual Jordan, Maria Goeppert-Mayer, Lothar Wolfgang Nordheim, Robert Oppenheimer, and Victor Weisskopf all received their Ph.D. degrees under Born at Göttingen, and his assistants included Enrico Fermi, Werner Heisenberg, Gerhard Herzberg, Friedrich Hund, Pascual Jordan, Wolfgang Pauli, Léon Rosenfeld, Edward Teller, and Eugene Wigner. In January 1933, the Nazi Party came to power in Germany, and Born, who was Jewish, was suspended. He emigrated to Britain, where he took a job at St John's College, Cambridge, and wrote a popular science book, The Restless Universe, as well as Atomic Physics, which soon became a standard textbook. In October 1936, he became the Tait Professor of Natural Philosophy at the University of Edinburgh, where, working with German-born assistants E. Walter Kellermann and Klaus Fuchs, he continued his research into physics. Max Born became a naturalised British subject on 31 August 1939, one day before World War II broke out in Europe. He remained at Edinburgh until 1952. He retired to Bad Pyrmont, in West Germany, and died in a hospital in Göttingen on 5 January 1970."
"Anthony James Leggett","Sir Anthony James Leggett KBE FRS (born 26 March 1938), has been a professor of physics at the University of Illinois at Urbana-Champaign since 1983. Leggett is widely recognized as a world leader in the theory of low-temperature physics, and his pioneering work on superfluidity was recognized by the 2003 Nobel Prize in Physics. He has shaped the theoretical understanding of normal and superfluid helium liquids and strongly coupled superfluids. He set directions for research in the quantum physics of macroscopic dissipative systems and use of condensed systems to test the foundations of quantum mechanics."
"Leon Isserlis","Leon Isserlis (1881–1966) was a Russian-born British statistician known for his work on the exact distribution of sample moments, including Isserlis’ theorem. He also brought to the attention of British statisticians the work of Russian mathematicians and statisticians, including Chebyshev and Chuprov. He was born in Boguslav near Kiev in June 1881 and was a direct descendant of the eminent rabbi Moses Isserles. He moved to Britain when he was ten years old with his widowed mother, an elder brother and two sisters. He attended the City of London School and won an open scholarship to study mathematics at Christ's College, Cambridge. Upon leaving Cambridge in 1904 he was appointed head of mathematics at the West Ham Municipal Technical Institute (one of the forerunners of the University of East London). He also registered as a research student at University College London, where he studied under Karl Pearson, and was awarded a D.Sc. in 1916. In March 1920 he moved to become statistician to the Chamber of Shipping and remained there until his retirement in 1942, when his position as statistician was taken by Maurice Kendall. In 1926 He wrote a review for the Journal of the Royal Statistical Society of R. A. Fisher's seminal book Statistical Methods for Research Workers. The review was rather critical, particularly of Fisher's lack of references to earlier work by others such as Chebyshev. He was a friend of Major Greenwood and worked with him on statistical issues for the Medical Research Council, although most of this work was anonymous and unpublished. He was also chairman of the Jewish Health Organization from 1931 to 1939. He served as secretary of the Royal Statistical Society in 1934–35 and again in 1944–45, and was awarded its Guy Medal in Silver in 1939."
"Kurt Mendelssohn","Kurt Alfred Georg Mendelssohn FRS (7 January 1906 – 18 September 1980) was a German-born British medical physicist, elected a Fellow of the Royal Society 1951. He was a great-great-grandson of Saul Mendelssohn, the younger brother of philosopher Moses Mendelssohn. He received a doctorate in physics from the University of Berlin, having studied under Max Planck, Walther Nernst, Erwin Schrödinger, and Albert Einstein. Leaving Germany at the advent of the Nazi regime in 1933, he went to England. He worked at the University of Oxford from 1933. He was Reader in Physics there, 1955-1973, Emeritus Reader, 1973; Emeritus Professorial Fellow of Wolfson College, Oxford, 1973 (Professorial Fellow, 1971-1973). His scientific work included low temperature physics, transuranic elements, and medical physics. He was awarded the Royal Society's Hughes Medal. In 1974, he published The Riddle of the Pyramids, in which he sought to explain the whys and wherefores of the earliest Egyptian pyramids. Though Mendelssohn himself was not an Egyptologist, the book builds on advice from experts like Sir Robert Mond and Walter Emery, as well as his own visits to Egypt and Mexico. His principal thesis was that the pyramid at Meidum had collapsed during construction, a conclusion he arrived at utilizing his knowledge of physics and which was sparked in 1966 by images of the Aberfan disaster, where Mendelssohn saw similarities to the rubble mound surrounding the Meidum pyramid, a primary destination for his travel to Egypt the year before. Working from that conclusion, he further elaborated a theory that pyramid construction in Egypt took on a life of its own during the Third and Fourth Dynasties, more or less independently of the reigns of pharaohs. His theory has not been taken up by the Egyptological community, but the book remains a stimulating and detailed study of the Egyptian pyramids."
"Erna Schneider Hoover","Dr. Erna Schneider Hoover (born June 19, 1926) is an American mathematician notable for inventing a computerized telephone switching method which ""revolutionized modern communication"" according to several reports. It prevented system overloads by monitoring call center traffic and prioritizing tasks on phone switching systems to enable more robust service during peak calling times. At Bell Laboratories where she worked for over 32 years, Hoover was described as an important pioneer for women in the field of computer technology. She was awarded one of the first patents for computer software. She was elected as a member of the National Inventors Hall of Fame in 2008."
"Ioannis Liritzis","Ioannis Liritzis (Greek: Ιωάννης Λυριντζής; born 2 November 1953 in Delphi) is professor of physics in archaeology (archaeometry) and his field of specialization is the application of natural sciences to archaeology and cultural heritage. He studied physics at the University of Patras and continued at the University of Edinburgh, where he obtained his Ph.D. in 1980. Since then, he undertook postgraduate work at the University of Oxford, Université Bordeaux III, University of Edinburgh and the Academy of Athens. Currently he is professor of archaeometry at the University of the Aegean and he directs the Laboratory of Archaeometry (founded by him at 1999). In the past he served as Head of the Department of Mediterranean Studies at the University of the Aegean, Member of the Senate of University of the Aegean and Member of the Executive Committee of National Recognition of Foreign Academic Diplomas. His prior career includes the Greek Ministry of Culture for 5 years (1984–1989) and the Academy of Athens for 10 years (1989–1999). He has made major contributions to several interdisciplinary research fields (geophysics, astronomy, planetology, paleomagnetism, paleoclimatology) and his work has been published in scientific journals such as Nature journal. He is best known for the invention of two novel dating methods. Τhe method for surface luminescence dating (introduced at 1994) where Liritzis extended the principles behind optical dating and thermoluminescence dating to include surfaces last seen by the sun before buried, of carved rock types from ancient monuments and artifacts, made of granite, basalt and sandstone and the obsidian hydration dating (introduced at 2002). Obsidian hydration dating established a new approach based on the surface saturation layer and the SIMS profile of hydrogen (SIMS-SS method). Significant contributions in archaeoastronomy are also worth mentioning. He has written over 250 original papers in internationally cited journals and 9 books (4 in English). Many Greek and international magazines and newspapers have referred to his work, as has the Discovery Channel. Liritzis has been elected as Membre Correspondant de l' Académie des Sciences, Arts et Belles-Lettres de Dijon and Member of the European Academy of Sciences and Arts He was awarded the Prize of Academy of Athens for his Book Archaeometry: Dating Methods in Archaeology (1986). Recently he was awarded the ""The Costa Navarino International Archeometry Award (2010) Issued by the University of Peloponesse. Liritzis is an editorial member in twenty International ICI Journals and is Editor-in-Chief of two."
"Emanuel Derman","Emanuel Derman (born c. 1945) is a Jewish South African-born academic, businessman and writer. He is best known as a quantitative analyst, and author of the book My Life as a Quant: Reflections on Physics and Finance. He is a co-author of Black–Derman–Toy model, one of the first interest-rate models, and the Derman–Kani local volatility or implied tree model, a model consistent with the volatility smile. Derman, who first came to the U.S. at age 21, in 1966, is currently a professor at Columbia University and Director of its program in financial engineering. Until recently he was also the Head of Risk and a partner at KKR Prisma Capital Partners, a fund of funds. His book My Life as a Quant: Reflections on Physics and Finance, published by Wiley in September 2004, was one of Business Week's top ten books of the year for 2004. In 2011, he published ""Models.Behaving.Badly,"" a book contrasting financial models with the theories of hard science, and also containing some autobiographical material."
"Daniel Wolpert","Daniel Mark Wolpert FRS FMedSci (born 8 September 1963) is a British medical doctor, neuroscientist and engineer, who has made important contributions in computational biology. He is Professor of Engineering at the University of Cambridge from 2005, and also became the Royal Society Noreen Murray Research Professorship in Neurobiology from 2013."
"Artur Avila","(This name uses Portuguese naming customs. The first or maternal family name is Cordeiro and the second or paternal family name is de Melo.) Artur Avila Cordeiro de Melo (born 29 June 1979) is a Brazilian and French mathematician working primarily on dynamical systems and spectral theory. He is one of the winners of the 2014 Fields Medal, being the first Latin American to win such award. He is a researcher at both the IMPA and the CNRS (working a half-year in each one)."
"Sten Grillner","Dr. Sten Grillner (born 14 June 1941, Stockholm) is a Swedish neurophysiologist and distinguished professor at the Karolinska Institute's Nobel Institute for Neurophysiology in Stockholm where he is the director of the institute. He is considered one of the world’s foremost experts in the cellular bases of motor behaviour. His research is focused on understanding the cellular bases of motor behaviour; in particular, he has shown how neuronal circuits in the spine help control rhythmic movements, such as those needed for locomotion. He is current secretary general of International Brain Research Organization IBRO and President of the Federation of European Neuroscience Societies (FENS). For his work, in 2008 he was awarded the $1 million Kavli Prize for deciphering the basic mechanisms which govern the development and functioning of the networks of cells in the brain and spinal cord. This prize distinguish the recipient from the Nobel prizes in basic medical sciences. Notable Neuroscientists like Eric Kandel, 2000 Nobel Laureate in Physiology or medicine named Dr. Grillner’s work on the workings of complex neurocircuitry extremely important and this progress in understanding motor systems, the cognitive role in motor systems, is a brilliant advance and has revolutionized our understanding of how the nervous system is wired. Prof. Grillner studied at the medical faculty in Gothenburg, Sweden, and received his Doctor of Medicine (MD); PhD in neurophysiology in 1969. He has been a Professor and Director of the Nobel Institute for Neurophysiology at the Karolinska Institute since 1987. He is a member of the Academia Europaeae, Royal Swedish Academy of Science, National Academy of Science (US), Institute of Medicine (US) and former member, deputy chair and chairperson between 1988-2008 of the Nobel Assembly at Karolinska Institutet which awards Nobel Prize in Physiology or Medicine, and has received a number of awards including the Bristol Myers Squibb award in 1993 and the Reeve–Irvine award in 2002. He was the co-recipient of the 2005 SfN Ralph Gerard Prize, highest recognition conferred by Society for Neuroscience and he was a co-recipient, with Thomas Jessell and Pasko Rakic, of the inaugural Kavli Prize for Neuroscience in 2008."
"David Altshuler","David Matthew Altshuler is a clinical endocrinologist and human geneticist. He is Executive Vice President, Global Research and Chief Scientific Officer at Vertex Pharmaceuticals. Prior to joining Vertex in 2014, he was at the Broad Institute of Harvard and MIT., and was a Professor of Genetics and Medicine at Harvard Medical School, and in the Department of Biology at Massachusetts Institute of Technology. He was also a faculty member in the Department of Molecular Biology, Center for Human Genetic Research, and the Diabetes Unit, all at Massachusetts General Hospital. He was one of four Founding Core Members of the Broad Institute, and served as the Institute's Deputy Director, Chief Academic Officer, and Director of the Program in Medical and Population Genetics."
"Muhammad Yar Khuhawar","Prof. Dr. Muhammad Yar Khuhawar, commonly known as Dr. Khuhawar, Doctor of Science (U.K) Doctor of Philosophy (U.K), (USA) Izaz‐e‐kamal, Sitara-i-Imtiaz, is a Pakistani analytical chemist and a Professor of Chemistry at the University of Sindh, Pakistan. Presently, he is working as a Professor Emeritus at Institute of Advanced Research Studies in Chemical Sciences, University of Sindh, Jamshoro. He is leading researcher and versatile educator with distinguished academic carrier producing large number of Ph.D. and M.Phil. research scholars. Currently, he is working with more than 50 researchers, focusing in the field of Chromatography and Electrophoresis for analytical method development for metals, non-metals and biological active compounds from wide variety of real samples. His research group has synthesized a number of Schiff base polymers and have developed new stationary phase for Gas Chromatography and sensitive Liquid Chromatography procedures for the determination of pesticide malathion. He has also published a large number of research papers in field of environmental monitoring of water resources of sindh province from river Indus, canals, lakes, natural springs, sea, underground water resources, municipal sewerage and receiving bodies in terms of pollution and utilities for biological life inhabiting in the area. He has a Ph.D. in Chemistry from Birmingham University, UK. He was awarded degree of ""Doctor of Science"" from University of Birmingham, United Kingdom in year 2000. He is among few persons who got the degree of Doctor of Science (D.Sc.) in Pakistan. He has more than 250 Research publication in National and International Journals."
"Amos Smith","Amos B. Smith III (born August 26, 1944) is an American chemist. He is most notable for his research in the total synthesis of complex natural product, as well as the chemistry of mammalian pheromones and chemical communication. He currently works at the Monell Chemical Senses Center and holds the Rhodes-Thompson Professorship of Chemistry at the University of Pennsylvania's Department of Chemistry. Amos B. Smith III is a fellow of the American Academy of Arts and Sciences and member of the ESPCI ParisTech Scientific Council. In 2015, he was awarded the Royal Society of Chemistry's Perkin Prize for Organic Chemistry ""for his continued outstanding contributions to new organic reaction development, complex natural product total synthesis, and new small molecules for medicinal chemistry""."
"Andre Geim","Sir Andre Konstantin Geim, FRS, HonFRSC, HonFInstP (born 21 October 1958) is a Soviet-born Dutch-British physicist working in the School of Physics and Astronomy at the University of Manchester. Geim was awarded the 2010 Nobel Prize in Physics jointly with Konstantin Novoselov for his work on graphene. He is Regius Professor of Physics and Royal Society Research Professor at the Manchester Centre for Mesoscience and Nanotechnology. In addition to the 2010 Nobel Prize, he received an Ig Nobel Prize in 2000 for using the magnetic properties of water scaling to levitate a small frog with magnets. This makes him the first, and thus far only, person to receive both the prestigious science award and its tongue-in-cheek equivalent."
"John B. Whitehead","John Boswell Whitehead (August 18, 1872 in Norfolk, Virginia – November 16, 1954 in Baltimore, Maryland) was an American electrical engineer and a professor at Johns Hopkins University as well as the dean of the School of Engineering. Whitehead was president of the American Institute of Electrical Engineers from 1933 to 1934. In 1941, Whitehead received the IEEE Edison Medal for ""contributions to the field of electrical engineering, his pioneering and development in the field of dielectric research, and his achievements in the advancement of engineering education""."
"Richard Axel","Richard Axel (born July 2, 1946) is a molecular biologist and University Professor in the Department of Neuroscience at Columbia University and investigator at the Howard Hughes Medical Institute. His work on the olfactory system won him and Linda Buck, a former postdoctoral research scientist in his group, the Nobel Prize in Physiology or Medicine in 2004."
"Noam Nisan","Noam Nisan (Hebrew: נעם ניסן‎‎; born June 20, 1961) is an Israeli computer scientist, a professor of computer science at the Hebrew University of Jerusalem. He is known for his research in computational complexity theory and algorithmic game theory."
"Howard Harry Rosenbrock","Howard Harry Rosenbrock (16 December 1920 – 21 October 2010) was a leading figure in control theory and control engineering. He was born in Ilford, England in 1920, graduated in 1941 from University College London with a 1st class honors degree in Electrical Engineering. He served in the Royal Air Force during World War II. He received the PhD from London University in 1955. After some time spent at Cambridge University and MIT, he was awarded a Chair at the University of Manchester Institute of Science and Technology, where he founded the Control Systems Centre. He died on 21 October 2010. Prof Rosenbrock received many awards including the IEE Premium, the IEE Heaviside Premium, and the IEE Control Achievement Award, the first IEEE Control Systems Science and Engineering Award (1982), the Rufus Oldenburger Medal (1994) and the IChemE Moulton Medal. He was a Fellow of the IEE, the IChemE, the Institute of Measurement and Control, the Royal Academy of Engineering and the Royal Society. Howard Rosenbrock was a pioneer of multivariable frequency domain control design methods. He also made important contributions to the numerical solution of stiff differential equations and in the development of parameter optimization methods, both known as Rosenbrock methods. The Rosenbrock function is a benchmark test for numerical optimization algorithms."
"Ronald Ekers","Ronald (Ron) David Ekers (born 18 September 1941) FRS FAA is an Australian radio astronomer. His fields of specialty include the study of active galactic nuclei, cosmology, and radio astronomy techniques. Ron Ekers was born in Victor Harbor, South Australia. He showed interest in astronomy at a young age. Ron Ekers graduated from the University of Adelaide in 1963 and received his PhD in astronomy at the Australian National University (ANU) in 1967. His postdoctoral supervisor at ANU was the astronomer John Gatenby Bolton. After graduating from ANU, his first postdoctoral studies were performed at Caltech, during which time Richard P. Feynman and Fred Hoyle were active. When Ron was in his teenage years, he bought a telescope and recorded the position of stars. He was director of the Very Large Array (VLA) from 1980 until 1987. From 1988 to 2003 he was Foundation Director of CSIRO's Australia Telescope National Facility. He is a past President of the International Astronomical Union (IAU) and a member of the Advisory Board for the Peter Gruber Foundation Cosmology Prize."
"Bradford Parkinson","Bradford Parkinson (February 16, 1935) is an American engineer and inventor, and United States Air Force colonel best known as the father of the Global Positioning System (along with Roger L. Easton and Ivan A. Getting). He attended the United States Naval Academy, graduating in 1957, but decided to join the Air Force because of its superior educational opportunities. Parkinson then attended the Massachusetts Institute of Technology for his M.S. in Aeronautics, graduating in 1961. After several years in the Air Force, he entered a Ph. D. program at Stanford University, graduating in 1966. In 1973 he became manager of the NAVSTAR GPS development program, where he remained until 1978 when he retired from the Air Force. In 1984, Parkinson became a professor at Stanford University, where today he is a professor emeritus. In 2003 he shared the Draper Prize with Ivan A. Getting for his contributions to the invention of the Global Positioning System. In 2004 he was inducted into the National Inventors Hall of Fame. In 2016 he received the Marconi Prize."
"Odd Langholm","Odd Langholm (born 8 November 1928) is a Norwegian economist and historian of economic thought. He spent his entire adacemic career at the Norwegian School of Economics and Business Administration, being a professor from 1966 to 1998."
"Brian Garner Wybourne","Brian Garner Wybourne (5 March 1935 – 26 November 2003) was a New Zealand physicist known for his work on the energy levels of rare-earth ions. Born in Morrinsville in 1935, Wybourne attended Canterbury University College, graduating with an MSc with second-class honours in 1958 and a PhD in 1960. After post-doctoral research positions at Johns Hopkins University and Argonne National Laboratory in the United States, Wybourne returned to the University of Canterbury in 1966 to take up a professorship in physics. He served as the head of the physics department from December 1982 to November 1989. In 1991 he was a visiting professor at the Nicholas Copernicus University in Toruń, Poland, and decided to remain there permanently. He was elected a Fellow of the Royal Society of New Zealand in 1970, and the same year he won the society's Hector Medal, the highest award in New Zealand science at that time."
"Li Xiaohong (engineer)","Li Xiaohong (June 1959 - ) is a Chinese engineer and educator. He served as the president of Chongqing University from 2003 to 2010, and was appointed as the president of Wuhan University in 2010. In 2011, he was elected as a member of Chinese Academy of Engineering. As a researcher, Li's main interests are in the field of mining engineering. He made contributions to the development of water jet cutters in China, and established new equations about jet parameters and cutting effection, so the use of abrasive jet could be improved."
"Duncan Haldane","Frederick Duncan FRS (born 14 September 1951), known as F. Duncan Haldane, is a British-American physicist who is Eugene Higgins Professor of Physics at the physics department of Princeton University, and a Distinguished Visiting Research Chair at Perimeter Institute for Theoretical Physics. He won the 2016 Nobel Prize in Physics with David J. Thouless and John Michael Kosterlitz."
"Haddon King","Haddon Rymer Forrester King (4 February 1905 – 1990), was an Australian geologist, winner of the Clarke Medal in 1972. King was born in Georgetown, British Guiana, son of George Forrester King and his wife Jessie Ann, née Kingsland. In 1926 he started as a surveyor’s assistant on the Geological Survey of British Guiana under the supervision of H. J. C. (Terence) Conolly. King obtained his surveyor’s licence in 1929 and then moved to Canada where he studied mining engineering at the University of Toronto (B.A.Sc., 1934). King gained experience in mineral exploration working with Conolly in the Timmins and Sudbury Basin regions. King was invited to join the newly formed Western Mining Corporation in Western Australia in 1934 `to apply the latest ideas in geology, geophysics, geochemistry and aerial photography to the scientific search for new mineral deposits’, collaborating with U.S. consultants. King became senior geologist in 1936. In 1953, King became chief geologist of Consolidated Zinc. King’s most significant contribution to mining geology came from his recognition that the Broken Hill ore body (along with other similar deposits worldwide) originated as sedimentary layers of metals, rather than later replacements from metallic solutions. King won the W. R. Browne Medal of the Australian Geographic Society in 1984."
"Marc Levoy","Marc Levoy is a computer graphics researcher and Professor of Computer Science and Electrical Engineering at Stanford University. He is noted for pioneering work in volume rendering. Levoy first studied computer graphics as an architecture student under Donald P. Greenberg at Cornell University. He received his B.Arch. in 1976 and M.S. in Architecture in 1978. He developed a 2D computer animation system as part of his studies, receiving the Charles Goodwin Sands Memorial Medal for this work. Greenberg and he suggested to Disney that they use computer graphics in producing animated films, but the idea was rejected by several of the Nine Old Men who were still active. Following this, they were able to convince Hanna-Barbera Productions to use their system for television animation. Despite initial opposition by animators, the system was successful in reducing labor costs and helping to save the company, and was used until 1996. Levoy worked as director of the Hanna-Barbera Animation Laboratory from 1980 to 1983. He then did graduate study in computer science under Henry Fuchs at the University of North Carolina at Chapel Hill, and received his Ph.D. in 1989. While there, he published several important papers in the field of volume rendering, developing new algorithms (such as volume ray tracing), improving efficiency, and demonstrating applications of the technique. He joined the faculty of Stanford's Computer Science Department in 1990. In 1991, he received the National Science Foundation's Presidential Young Investigator Award. In 1994, he co-created the Stanford Bunny, which has become an icon of computer graphics. In 1996, he and Pat Hanrahan coauthored the paper, ""Light Field Rendering,"" which forms the basis behind many image-based rendering techniques in modern-day computer graphics. In the 2000s, his lab has worked on applications of light fields, developing technologies such as a light-field camera and light-field microscope. For his pioneering work in volume rendering, Levoy was the recipient of the ACM SIGGRAPH Computer Graphics Achievement Award in 1996. In 2007 he was inducted as a Fellow of the Association for Computing Machinery."
"Andrey Korotayev","Andrey Vitalievich Korotayev (Russian: Андре́й Вита́льевич Корота́ев; born February 17, 1961) is a Russian comparative political scientist, anthropologist, economic historian, and sociologist, with major contributions to world-systems theory, cross-cultural studies, Near Eastern history, Big History, and mathematical modeling of social and economic macrodynamics. He is currently the Head of the Laboratory of Monitoring of the Risks of Sociopolitical Destabilization of the National Research University Higher School of Economics, and a Senior Research Professor at the Center for Big History and System Forecasting of the Institute of Oriental Studies   as well as in the Institute for African Studies of the Russian Academy of Sciences. In addition, he is a Senior Research Professor of the International Laboratory on Political Demography and Social Macrodynamics (PDSM) of the Russian Presidential Academy of National Economy and Public Administration, as well as a Full Professor of the Faculty of Global Studies of the Moscow State University. He is co-editor of the journals Social Evolution & History and Journal of Globalization Studies, as well as History & Mathematics almanac (together with Leonid Grinin and Arno Tausch). Together with Askar Akayev and George Malinetsky he is a coordinator of the Russian Academy of Sciences Program ""System Analysis and Mathematical Modeling of World Dynamics""."
"Sidney Mintz","Sidney Wilfred Mintz (November 16, 1922 – December 27, 2015) was an anthropologist best known for his studies of the Caribbean, creolization, and the anthropology of food. Mintz received his PhD at Columbia University in 1951 and conducted his primary fieldwork among sugar-cane workers in Puerto Rico. Later expanding his ethnographic research to Haiti and Jamaica, he produced historical and ethnographic studies of slavery and global capitalism, cultural hybridity, Caribbean peasants, and the political economy of food commodities. He taught for two decades at Yale University before helping to found the Anthropology Department at Johns Hopkins University, where he remained for the duration of his career. Mintz' history of sugar, Sweetness and Power, is considered one of the most influential publications in cultural anthropology and food studies."
"Sara Arber","Sara Arber FRSA is a British sociologist and professor at University of Surrey. Arber has previously held the position of president of the British Sociological Association (1999–2001) and vice-president of the European Sociological Association (2005–07). She is well known for her work on gender and ageing, inequalities in health and has pioneered research in the new field of sociology of sleep."
"Jim Berger (statistician)","James O. Berger (born April 6, 1950 in Minneapolis, Minnesota) is an American statistician. He received a Ph.D. in mathematics from Cornell University in 1974. He was a faculty member in the Department of Statistics at Purdue University until 1997, at which time he moved to the Institute of Statistics and Decision Sciences (now the Department of Statistical Science) at Duke University, where he is currently the Arts and Sciences Professor of Statistics. He has also been Director of the Statistical and Applied Mathematical Sciences Institute since 2002."
"Otto Hutter","Otto Fred Hutter (b 29 February 1924) Emeritus Regius Professor of Physiology at the University of Glasgow, is a physiologist. He was born in Vienna, becoming a British citizen in 1947., His father was an estate agent and his mother had been a nurse in World War 1. He first attended secondary school at the Zwi Perez Chajes Gymnasium. He left Vienna in December 1938 as part of the Kindertransport which allowed Jewish children to escape the German occupation. After arriving in the UK, he attended the Bishop Stortford College as a boarder. From 1942, after leaving school, he worked as a laboratory technician at the Wellcome Physiological Research Laboratories in Beckenham, Kent. One project addressed the standardisation of penicillin production, then of considerable importance for the war effort. He studied physiology at Chelsea Polytechnic (as was) and chemistry at Birkbeck College at wartime evening classes. When the war ended, he took the BSc Physiology course at University College London. His initial research was on acetylcholine actions in nerve and muscle. His work developed to address the permeation of potassium in muscle. During a research fellowship in Baltimore, at the laboratory of Stephen Kuffler, he worked with another visitor, Wolfgang Trautwein. They made the first recordings using microelectrodes of the pacemaker potential in heart muscle to study the cardiac pacemaker. They researched the actions of acetylcholine (which slows heart rate) or adrenaline (which speeds it). Their recordings, made in tortoise heart, have become iconic medical and physiological textbook images of these phenomena."
"Michael Athans","Michael Athans (born Michael Athanassiades , May 3, 1937) is a Greek-American control theorist and a Professor in the Department of Electrical Engineering and Computer Science at the Massachusetts Institute of Technology. He is a Fellow of the IEEE (1973) and a Fellow of the AAAS (1977). He is the recipient of numerous awards for his contributions in the field of control theory. Athans received his B.S., M.S., and Ph.D. in Electrical Engineering from the University of California, Berkeley in 1958, 1959, and 1961, respectively."
"James S. Langer","James S. Langer is Professor of Physics at the University of California at Santa Barbara. Born in Pittsburgh, Pennsylvania in 1934, Langer graduated from Taylor Allderdice High School in 1951. He attended Carnegie Institute of Technology and the University of Birmingham, earning a B.A. in physics from the former in 1955 and a Ph.D. in mathematical physics from the latter in 1958. A Marshall Scholar at Birmingham, his thesis advisor was Rudolf Peierls. After receiving his doctorate, he began his career in the Physics Department at the Carnegie Institute of Technology (which later became Carnegie Mellon University), where he would stay until 1982. He then joined UCSB's Institute for Theoretical Physics as professor. Between 1989 and 1995, he served as its director. According to his profile at UCSB, Langer's research focuses on theories of nonequilibrium phenomena, including the kinetics of phase transitions, pattern formation in crystal growth, the dynamics of earthquakes, and deformation and failure in noncrystalline solids. Langer served as President of the American Physical Society in 2000 and as Vice President of the United States National Academy of Sciences from 2001 to 2005. His awards include the APS's Oliver Buckley Prize in 1997."
"Andrew Huxley","Sir Andrew Fielding Huxley OM PRS (22 November 1917 – 30 May 2012) was a Nobel Prize-winning English physiologist and biophysicist. He was born into the prominent Huxley family. After graduating from Westminster School in Central London, from where he won a scholarship to Trinity College, Cambridge, he joined Alan Lloyd Hodgkin to study nerve impulses. Their eventual discovery of the basis for propagation of nerve impulses (called an action potential) earned them the Nobel Prize in Physiology or Medicine in 1963. They made their discovery from the giant axon of the Atlantic squid. Soon after the outbreak of the Second World War, Huxley was recruited by the British Anti-Aircraft Command and later transferred to the Admiralty. After the war he resumed research at The University of Cambridge, where he developed interference microscopy that would be suitable for studying muscle fibres. In 1952 he was joined by a German physiologist Rolf Niedergerke. Together they discovered in 1954 the mechanism of muscle contraction, popularly called the ""sliding filament theory"", which is the foundation of our modern understanding of muscle mechanics. In 1960 he became head of the Department of Physiology at University College London. He was elected a Fellow of the Royal Society in 1955, and President in 1980. The Royal Society awarded him the Copley Medal in 1973 for his collective contributions to the understanding of nerve impulses and muscle contraction. He was conferred a Knight Bachelor by Queen Elizabeth II in 1974, and was appointed to the Order of Merit in 1983. He was a fellow of Trinity College, Cambridge, until his death."
"Joseph Silk","Joseph Ivor Silk FRS (born 3 December 1942) is a British astrophysicist. He was the Savilian Chair of Astronomy at the University of Oxford from 1999 to September 2011. He was educated at Tottenham County School (1954-1960) and went on to study Mathematics at the University of Cambridge (1960-1963). He gained his PhD in Astronomy from Harvard in 1968. Silk took up his first post at Berkeley in 1970, and the Chair in Astronomy in 1978. Following a career of nearly 30 years there, Silk returned to the UK in 1999 to take up the Savilian Chair at the University of Oxford. He is currently Professor of Physics at the Institut d’Astrophysique de Paris, Université Pierre et Marie Curie, Homewood Professor of Physics and Astronomy at Johns Hopkins University (since in 2010), and Professor of Astronomy at Gresham College since 2015. He is an Emeritus Fellow of New College, Oxford and a Fellow of the Royal Society (elected May 1999). He was awarded the 2011 Balzan Prize for his works on the early Universe. Silk has given more than two hundred invited conference lectures, primarily on galaxy formation and cosmology."
